AuthorName,paperTitles,TopPapersCount
L. Deng,"['The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]', 'The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]', 'Learning deep structured semantic models for web search using clickthrough data', 'The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]', 'The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]']",5
L. Deng,"['The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]', 'The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]', 'Learning deep structured semantic models for web search using clickthrough data', 'The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]', 'The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]']",5
L. Deng,"['The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]', 'The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]', 'Learning deep structured semantic models for web search using clickthrough data', 'The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]', 'The MNIST Database of Handwritten Digit Images for Machine Learning Research [Best of the Web]']",5
Patrick Zschech,['Machine learning and deep learning'],1
Christian Janiesch,['Machine learning and deep learning'],1
K. Heinrich,['Machine learning and deep learning'],1
Payman Mohassel,['SecureML: A System for Scalable Privacy-Preserving Machine Learning'],1
Yupeng Zhang,['SecureML: A System for Scalable Privacy-Preserving Machine Learning'],1
Li Yang,['On Hyperparameter Optimization of Machine Learning Algorithms: Theory and Practice'],1
A. Shami,['On Hyperparameter Optimization of Machine Learning Algorithms: Theory and Practice'],1
W. James Murdoch,"['Definitions, methods, and applications in interpretable machine learning']",1
Karl Kumbier,"['Definitions, methods, and applications in interpretable machine learning']",1
Bin Yu,"['Definitions, methods, and applications in interpretable machine learning']",1
R. Abbasi-Asl,"['Definitions, methods, and applications in interpretable machine learning']",1
Chandan Singh,"['Definitions, methods, and applications in interpretable machine learning']",1
E. M. Pereira,['Machine Learning Interpretability: A Survey on Methods and Metrics'],1
Jaime S. Cardoso,['Machine Learning Interpretability: A Survey on Methods and Metrics'],1
D. V. Carvalho,['Machine Learning Interpretability: A Survey on Methods and Metrics'],1
Xuezhi Wang,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Martin G. Seneviratne,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
A. Montanari,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Ghassen Jerfel,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
K. Heller,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Jonathan Deaton,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Jacob Eisenstein,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
D. Moldovan,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
C. McLean,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
N. Houlsby,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Steve Yadlowsky,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Martin G. Seneviratne,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
F. Hormozdiari,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Vivek Natarajan,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
B. Alipanahi,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
T. Yun,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
R. Raman,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Zachary Nado,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Yi-An Ma,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Mario Lucic,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
A. Karthikesalingam,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
R. Sayres,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
T. Osborne,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Max Vladymyrov,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Shannon Sequeira,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
A. D'Amour,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
D. Sculley,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Christopher Nielson,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Jessica Schrouff,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Ben Adlam,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
A. Mitani,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Harini Suresh,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Kellie Webster,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Christina Chen,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Alex Beutel,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
M. Hoffman,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Shaobo Hou,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Diana Mincu,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
K. Ramasamy,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Xiaohua Zhai,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Victor Veitch,['Underspecification Presents Challenges for Credibility in Modern Machine Learning'],1
Senthilkumar Mohan,['Effective Heart Disease Prediction Using Hybrid Machine Learning Techniques'],1
Gautam Srivastava,['Effective Heart Disease Prediction Using Hybrid Machine Learning Techniques'],1
Chandrasegar Thirumalai,['Effective Heart Disease Prediction Using Hybrid Machine Learning Techniques'],1
Cheng Wu,['Implicit Semantic Data Augmentation for Deep Networks'],1
Shiji Song,['Implicit Semantic Data Augmentation for Deep Networks'],1
Xuran Pan,['Implicit Semantic Data Augmentation for Deep Networks'],1
Gao Huang,['Implicit Semantic Data Augmentation for Deep Networks'],1
Gao Huang,['Implicit Semantic Data Augmentation for Deep Networks'],1
Hong Zhang,['Implicit Semantic Data Augmentation for Deep Networks'],1
Yulin Wang,['Implicit Semantic Data Augmentation for Deep Networks'],1
Xuran Pan,['Implicit Semantic Data Augmentation for Deep Networks'],1
Cheng Wu,['Implicit Semantic Data Augmentation for Deep Networks'],1
Yulin Wang,['Implicit Semantic Data Augmentation for Deep Networks'],1
Shiji Song,['Implicit Semantic Data Augmentation for Deep Networks'],1
Feiyue Huang,['Adversarial Semantic Data Augmentation for Human Pose Estimation'],1
Yanhao Ge,['Adversarial Semantic Data Augmentation for Human Pose Estimation'],1
Changxin Gao,['Adversarial Semantic Data Augmentation for Human Pose Estimation'],1
Xinya Chen,['Adversarial Semantic Data Augmentation for Human Pose Estimation'],1
Xuan Cao,['Adversarial Semantic Data Augmentation for Human Pose Estimation'],1
Chengjie Wang,['Adversarial Semantic Data Augmentation for Human Pose Estimation'],1
N. Sang,['Adversarial Semantic Data Augmentation for Human Pose Estimation'],1
Yanrui Bin,['Adversarial Semantic Data Augmentation for Human Pose Estimation'],1
Ying Tai,['Adversarial Semantic Data Augmentation for Human Pose Estimation'],1
Jilin Li,['Adversarial Semantic Data Augmentation for Human Pose Estimation'],1
A. R. Javed,['PARCIV: Recognizing physical activities having complex interclass variations using semantic data of smartphone'],1
A. Bashir,['PARCIV: Recognizing physical activities having complex interclass variations using semantic data of smartphone'],1
Suleman Khan,['PARCIV: Recognizing physical activities having complex interclass variations using semantic data of smartphone'],1
M. U. Sarwar,['PARCIV: Recognizing physical activities having complex interclass variations using semantic data of smartphone'],1
F. Kulsoom,['PARCIV: Recognizing physical activities having complex interclass variations using semantic data of smartphone'],1
U. Tariq,['PARCIV: Recognizing physical activities having complex interclass variations using semantic data of smartphone'],1
Chengliang Liu,['Knowledge Reasoning with Semantic Data for Real-Time Data Processing in Smart Factory'],1
Shiyong Wang,['Knowledge Reasoning with Semantic Data for Real-Time Data Processing in Smart Factory'],1
Di Li,['Knowledge Reasoning with Semantic Data for Real-Time Data Processing in Smart Factory'],1
J. Wan,['Knowledge Reasoning with Semantic Data for Real-Time Data Processing in Smart Factory'],1
S. Drucker,['AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration'],1
N. Chen,['AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration'],1
P. Simard,['AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration'],1
J. Verwey,['AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration'],1
Gonzalo A. Ramos,['AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration'],1
Jina Suh,['AnchorViz: Facilitating Classifier Error Discovery through Interactive Semantic Data Exploration'],1
François Modave,['An ontology-guided semantic data integration framework to support integrative data analysis of cancer survival'],1
T. George,['An ontology-guided semantic data integration framework to support integrative data analysis of cancer survival'],1
E. Shenkman,['An ontology-guided semantic data integration framework to support integrative data analysis of cancer survival'],1
Qian Li,['An ontology-guided semantic data integration framework to support integrative data analysis of cancer survival'],1
Yi Guo,['An ontology-guided semantic data integration framework to support integrative data analysis of cancer survival'],1
Hansi Zhang,['An ontology-guided semantic data integration framework to support integrative data analysis of cancer survival'],1
J. Bian,['An ontology-guided semantic data integration framework to support integrative data analysis of cancer survival'],1
Maria-Esther Vidal,['Semantic Data Integration for Knowledge Graph Construction at Query Time'],1
D. Collarana,['Semantic Data Integration for Knowledge Graph Construction at Query Time'],1
Mikhail Galkin,['Semantic Data Integration for Knowledge Graph Construction at Query Time'],1
I. Ribón,['Semantic Data Integration for Knowledge Graph Construction at Query Time'],1
S. Auer,['Semantic Data Integration for Knowledge Graph Construction at Query Time'],1
C. Lange,['Semantic Data Integration for Knowledge Graph Construction at Query Time'],1
A. Soylu,['PepeSearch: Semantic Data for the Masses'],1
M. Giese,['PepeSearch: Semantic Data for the Masses'],1
A. Waaler,['PepeSearch: Semantic Data for the Masses'],1
Simen Heggestøyl,['PepeSearch: Semantic Data for the Masses'],1
A. Soylu,['PepeSearch: Semantic Data for the Masses'],1
Guillermo Vega-Gorgojo,['PepeSearch: Semantic Data for the Masses'],1
Christos Sakaridis,"['Semantic Foggy Scene Understanding with Synthetic Data', 'Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding']",2
Dengxin Dai,"['Semantic Foggy Scene Understanding with Synthetic Data', 'Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding']",2
Christos Sakaridis,"['Semantic Foggy Scene Understanding with Synthetic Data', 'Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding']",2
L. Van Gool,"['Semantic Foggy Scene Understanding with Synthetic Data', 'Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding']",2
L. Van Gool,"['Semantic Foggy Scene Understanding with Synthetic Data', 'Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding']",2
Dengxin Dai,"['Semantic Foggy Scene Understanding with Synthetic Data', 'Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding']",2
Christos Sakaridis,"['Semantic Foggy Scene Understanding with Synthetic Data', 'Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding']",2
Dengxin Dai,"['Semantic Foggy Scene Understanding with Synthetic Data', 'Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding']",2
M. Assaad,['Semantic Communications in Networked Systems: A Data Significance Perspective'],1
J. Gross,['Semantic Communications in Networked Systems: A Data Significance Perspective'],1
P. Popovski,['Semantic Communications in Networked Systems: A Data Significance Perspective'],1
G. Liva,['Semantic Communications in Networked Systems: A Data Significance Perspective'],1
E. Uysal,['Semantic Communications in Networked Systems: A Data Significance Perspective'],1
A. Ephremides,['Semantic Communications in Networked Systems: A Data Significance Perspective'],1
B. Soret,['Semantic Communications in Networked Systems: A Data Significance Perspective'],1
M. Codreanu,['Semantic Communications in Networked Systems: A Data Significance Perspective'],1
K. Johansson,['Semantic Communications in Networked Systems: A Data Significance Perspective'],1
T. Soleymani,['Semantic Communications in Networked Systems: A Data Significance Perspective'],1
Onur Kaya,['Semantic Communications in Networked Systems: A Data Significance Perspective'],1
A. Munari,['Semantic Communications in Networked Systems: A Data Significance Perspective'],1
Jianfeng Gao,['Learning deep structured semantic models for web search using clickthrough data'],1
Xiaodong He,['Learning deep structured semantic models for web search using clickthrough data'],1
Larry Heck,['Learning deep structured semantic models for web search using clickthrough data'],1
A. Acero,['Learning deep structured semantic models for web search using clickthrough data'],1
Po-Sen Huang,['Learning deep structured semantic models for web search using clickthrough data'],1
M. Hanwell,"['Avogadro: an advanced semantic chemical editor, visualization, and analysis platform']",1
G. Hutchison,"['Avogadro: an advanced semantic chemical editor, visualization, and analysis platform']",1
D. Curtis,"['Avogadro: an advanced semantic chemical editor, visualization, and analysis platform']",1
David C. Lonie,"['Avogadro: an advanced semantic chemical editor, visualization, and analysis platform']",1
T. Vandermeersch,"['Avogadro: an advanced semantic chemical editor, visualization, and analysis platform']",1
E. Zurek,"['Avogadro: an advanced semantic chemical editor, visualization, and analysis platform']",1
Wenguan Wang,['Exploring Cross-Image Pixel Contrast for Semantic Segmentation'],1
L. Gool,['Exploring Cross-Image Pixel Contrast for Semantic Segmentation'],1
Tianfei Zhou,['Exploring Cross-Image Pixel Contrast for Semantic Segmentation'],1
L. Gool,['Exploring Cross-Image Pixel Contrast for Semantic Segmentation'],1
L. Gool,['Exploring Cross-Image Pixel Contrast for Semantic Segmentation'],1
F. Yu,['Exploring Cross-Image Pixel Contrast for Semantic Segmentation'],1
Jifeng Dai,['Exploring Cross-Image Pixel Contrast for Semantic Segmentation'],1
E. Konukoglu,['Exploring Cross-Image Pixel Contrast for Semantic Segmentation'],1
Weixun Zuo,['FuseSeg: Semantic Segmentation of Urban Scenes Based on RGB and Thermal Data Fusion'],1
Yuxiang Sun,['FuseSeg: Semantic Segmentation of Urban Scenes Based on RGB and Thermal Data Fusion'],1
H. Wang,['FuseSeg: Semantic Segmentation of Urban Scenes Based on RGB and Thermal Data Fusion'],1
Ming Liu,['FuseSeg: Semantic Segmentation of Urban Scenes Based on RGB and Thermal Data Fusion'],1
Miguel A. Martínez-Prieto,['Towards an Architecture for Managing Big Semantic Data in Real-Time'],1
C. E. Cuesta,['Towards an Architecture for Managing Big Semantic Data in Real-Time'],1
Javier D. Fernández,['Towards an Architecture for Managing Big Semantic Data in Real-Time'],1
Fengxiao Huang,['Enabling Semantic Search Based on Conceptual Graphs over Encrypted Outsourced Data'],1
Zhangjie Fu,['Enabling Semantic Search Based on Conceptual Graphs over Encrypted Outsourced Data'],1
Ching-Nung Yang,['Enabling Semantic Search Based on Conceptual Graphs over Encrypted Outsourced Data'],1
A. Vasilakos,['Enabling Semantic Search Based on Conceptual Graphs over Encrypted Outsourced Data'],1
Xingming Sun,['Enabling Semantic Search Based on Conceptual Graphs over Encrypted Outsourced Data'],1
Yassine Ouali,['Semi-Supervised Semantic Segmentation With Cross-Consistency Training'],1
Myriam Tami,['Semi-Supervised Semantic Segmentation With Cross-Consistency Training'],1
C. Hudelot,['Semi-Supervised Semantic Segmentation With Cross-Consistency Training'],1
Simon Hecker,['Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding'],1
Simon Hecker,['Curriculum Model Adaptation with Synthetic and Real Data for Semantic Foggy Scene Understanding'],1
Nabila Berkani,['Semantic Data Warehouse Design: From ETL to Deployment à la Carte'],1
Ladjel Bellatreche,['Semantic Data Warehouse Design: From ETL to Deployment à la Carte'],1
Selma Khouri,['Semantic Data Warehouse Design: From ETL to Deployment à la Carte'],1
Robin Jia,['Data Recombination for Neural Semantic Parsing'],1
Percy Liang,['Data Recombination for Neural Semantic Parsing'],1
Raoul de Charette,['Sparse and Dense Data with CNNs: Depth Completion and Semantic Segmentation'],1
F. Nashashibi,['Sparse and Dense Data with CNNs: Depth Completion and Semantic Segmentation'],1
M. Jaritz,['Sparse and Dense Data with CNNs: Depth Completion and Semantic Segmentation'],1
É. Wirbel,['Sparse and Dense Data with CNNs: Depth Completion and Semantic Segmentation'],1
Xavier Perrotton,['Sparse and Dense Data with CNNs: Depth Completion and Semantic Segmentation'],1
S. Fidler,['VSE++: Improving Visual-Semantic Embeddings with Hard Negatives'],1
J. Kiros,['VSE++: Improving Visual-Semantic Embeddings with Hard Negatives'],1
David J. Fleet,['VSE++: Improving Visual-Semantic Embeddings with Hard Negatives'],1
Fartash Faghri,['VSE++: Improving Visual-Semantic Embeddings with Hard Negatives'],1
S. Fidler,['VSE++: Improving Visual-Semantic Embeddings with Hard Negatives'],1
S. Savarese,['3D Semantic Parsing of Large-Scale Indoor Spaces'],1
I. Brilakis,['3D Semantic Parsing of Large-Scale Indoor Spaces'],1
Ozan Sener,['3D Semantic Parsing of Large-Scale Indoor Spaces'],1
Amir Zamir,['3D Semantic Parsing of Large-Scale Indoor Spaces'],1
S. Savarese,['3D Semantic Parsing of Large-Scale Indoor Spaces'],1
Martin Fischer,['3D Semantic Parsing of Large-Scale Indoor Spaces'],1
Helen Jiang,['3D Semantic Parsing of Large-Scale Indoor Spaces'],1
Iro Armeni,['3D Semantic Parsing of Large-Scale Indoor Spaces'],1
Amir Zamir,['3D Semantic Parsing of Large-Scale Indoor Spaces'],1
Iro Armeni,['3D Semantic Parsing of Large-Scale Indoor Spaces'],1
Zhedong Zheng,['Rectifying Pseudo Label Learning via Uncertainty Estimation for Domain Adaptive Semantic Segmentation'],1
Yi Yang,['Rectifying Pseudo Label Learning via Uncertainty Estimation for Domain Adaptive Semantic Segmentation'],1
Jinsong Wang,['Unsupervised Domain Adaptation for Semantic Segmentation via Class-Balanced Self-training'],1
Yang Zou,['Unsupervised Domain Adaptation for Semantic Segmentation via Class-Balanced Self-training'],1
B. V. Vijaya Kumar,['Unsupervised Domain Adaptation for Semantic Segmentation via Class-Balanced Self-training'],1
Zhiding Yu,['Unsupervised Domain Adaptation for Semantic Segmentation via Class-Balanced Self-training'],1
J. Álvarez,['Effective Use of Synthetic Data for Urban Scene Semantic Segmentation'],1
M. S. Aliakbarian,['Effective Use of Synthetic Data for Urban Scene Semantic Segmentation'],1
L. Petersson,['Effective Use of Synthetic Data for Urban Scene Semantic Segmentation'],1
M. Salzmann,['Effective Use of Synthetic Data for Urban Scene Semantic Segmentation'],1
F. Saleh,['Effective Use of Synthetic Data for Urban Scene Semantic Segmentation'],1
J. Álvarez,['Effective Use of Synthetic Data for Urban Scene Semantic Segmentation'],1
Daniel Coelho de Castro,['Domain Generalization via Model-Agnostic Learning of Semantic Features'],1
K. Kamnitsas,['Domain Generalization via Model-Agnostic Learning of Semantic Features'],1
B. Glocker,['Domain Generalization via Model-Agnostic Learning of Semantic Features'],1
Q. Dou,['Domain Generalization via Model-Agnostic Learning of Semantic Features'],1
Benjamin Van Durme,['Constrained Language Models Yield Few-Shot Semantic Parsers'],1
Adam Pauls,['Constrained Language Models Yield Few-Shot Semantic Parsers'],1
J. Eisner,['Constrained Language Models Yield Few-Shot Semantic Parsers'],1
Emmanouil Antonios Platanios,['Constrained Language Models Yield Few-Shot Semantic Parsers'],1
D. Klein,['Constrained Language Models Yield Few-Shot Semantic Parsers'],1
Richard Shin,['Constrained Language Models Yield Few-Shot Semantic Parsers'],1
Subhro Roy,['Constrained Language Models Yield Few-Shot Semantic Parsers'],1
C. H. Lin,['Constrained Language Models Yield Few-Shot Semantic Parsers'],1
Sam Thomson,['Constrained Language Models Yield Few-Shot Semantic Parsers'],1
Charles C. Chen,['Constrained Language Models Yield Few-Shot Semantic Parsers'],1
J. Rhee,['Discovering Semantic Data of Interest from Un-mappable Memory with Confidence'],1
Chao Wu,['Discovering Semantic Data of Interest from Un-mappable Memory with Confidence'],1
Dongyan Xu,['Discovering Semantic Data of Interest from Un-mappable Memory with Confidence'],1
X. Zhang,['Discovering Semantic Data of Interest from Un-mappable Memory with Confidence'],1
Zhiqiang Lin,['Discovering Semantic Data of Interest from Un-mappable Memory with Confidence'],1
D. Tiede,['Semantic Earth Observation Data Cubes'],1
H. Augustin,['Semantic Earth Observation Data Cubes'],1
S. Lang,['Semantic Earth Observation Data Cubes'],1
M. Sudmanns,['Semantic Earth Observation Data Cubes'],1
Elyor Kodirov,['Semantic Autoencoder for Zero-Shot Learning'],1
T. Xiang,['Semantic Autoencoder for Zero-Shot Learning'],1
S. Gong,['Semantic Autoencoder for Zero-Shot Learning'],1
Li-wei H. Lehman,"['MIMIC-III, a freely accessible critical care database']",1
T. Pollard,"['MIMIC-III, a freely accessible critical care database']",1
M. Feng,"['MIMIC-III, a freely accessible critical care database']",1
M. Ghassemi,"['MIMIC-III, a freely accessible critical care database']",1
Alistair E. W. Johnson,"['MIMIC-III, a freely accessible critical care database']",1
Benjamin Moody,"['MIMIC-III, a freely accessible critical care database']",1
Lu Shen,"['MIMIC-III, a freely accessible critical care database']",1
R. Mark,"['MIMIC-III, a freely accessible critical care database']",1
L. Celi,"['MIMIC-III, a freely accessible critical care database']",1
Peter Szolovits,"['MIMIC-III, a freely accessible critical care database']",1
A. Schäffer,['Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.'],1
S. Altschul,['Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.'],1
Thomas L. Madden,"['Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.', 'Database resources of the National Center for Biotechnology Information.']",2
Thomas L. Madden,"['Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.', 'Database resources of the National Center for Biotechnology Information.']",2
D. Lipman,['Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.'],1
Zheng Zhang,['Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.'],1
Jinghui Zhang,['Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.'],1
Thomas L. Madden,"['Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.', 'Database resources of the National Center for Biotechnology Information.']",2
Thomas L. Madden,"['Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.', 'Database resources of the National Center for Biotechnology Information.']",2
W. Miller,['Gapped BLAST and PSI-BLAST: a new generation of protein database search programs.'],1
P. Tamayo,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
J. Mesirov,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
A. Liberzon,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
M. Ghandi,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
Chet Birger,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
Chet Birger,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
H. Thorvaldsdóttir,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
H. Thorvaldsdóttir,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
A. Liberzon,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
P. Tamayo,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
A. Liberzon,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
J. Mesirov,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
J. Mesirov,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
H. Thorvaldsdóttir,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
M. Ghandi,['The Molecular Signatures Database (MSigDB) hallmark gene set collection.'],1
Xue Xu,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
Yan Li,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
Yonghua Wang,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
Ling Yang,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
Peng Li,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
Jinlong Ru,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
W. Zhou,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
Zihu Guo,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
Bohui Li,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
Chao Huang,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
Yinfeng Yang,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
Pidong Li,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
W. Tao,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
Jinan Wang,['TCMSP: a database of systems pharmacology for drug discovery from herbal medicines'],1
P. Hugenholtz,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
Eoin L. Brodie,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
Thomas Huber,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
Neils Larsen,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
Gary L. Andersen,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
Ping Hu,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
T. DeSantis,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
Eoin L. Brodie,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
T. DeSantis,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
P. Hugenholtz,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
Mark Rojas,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
P. Hugenholtz,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
Daniel Dalevi,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
Keith Keller,"['Greengenes, a Chimera-Checked 16S rRNA Gene Database and Workbench Compatible with ARB']",1
A. Yazdani,['DEAP: A Database for Emotion Analysis ;Using Physiological Signals'],1
A. Nijholt,['DEAP: A Database for Emotion Analysis ;Using Physiological Signals'],1
T. Pun,['DEAP: A Database for Emotion Analysis ;Using Physiological Signals'],1
T. Ebrahimi,['DEAP: A Database for Emotion Analysis ;Using Physiological Signals'],1
I. Patras,['DEAP: A Database for Emotion Analysis ;Using Physiological Signals'],1
Sander Koelstra,['DEAP: A Database for Emotion Analysis ;Using Physiological Signals'],1
C. Mühl,['DEAP: A Database for Emotion Analysis ;Using Physiological Signals'],1
Jong-Seok Lee,['DEAP: A Database for Emotion Analysis ;Using Physiological Signals'],1
M. Soleymani,['DEAP: A Database for Emotion Analysis ;Using Physiological Signals'],1
W. Freeman,['LabelMe: A Database and Web-Based Tool for Image Annotation'],1
A. Torralba,['LabelMe: A Database and Web-Based Tool for Image Annotation'],1
A. Torralba,['LabelMe: A Database and Web-Based Tool for Image Annotation'],1
A. Torralba,['LabelMe: A Database and Web-Based Tool for Image Annotation'],1
Kevin P. Murphy,['LabelMe: A Database and Web-Based Tool for Image Annotation'],1
Bryan C. Russell,['LabelMe: A Database and Web-Based Tool for Image Annotation'],1
A. Torralba,['LabelMe: A Database and Web-Based Tool for Image Annotation'],1
Kevin P. Murphy,['LabelMe: A Database and Web-Based Tool for Image Annotation'],1
A. Torralba,['LabelMe: A Database and Web-Based Tool for Image Annotation'],1
Sungbok Lee,['IEMOCAP: interactive emotional dyadic motion capture database'],1
M. Bulut,['IEMOCAP: interactive emotional dyadic motion capture database'],1
